GISJOIN,YEAR,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACE,PLACEA,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,ANPSADPI,ESP001,ESP002,ESP003,ESP004,ESP005
"G01020296","1990",,,,,,,,,,"99999",,,"6",,"Demopolis city","20296",,"3","Alabama","01",,,,"Demopolis city",1713,877,100,44,13
"G01020392","1990",,,,,,,,,,"99999",,,"6",,"Detroit town","20392",,"3","Alabama","01",,,,"Detroit town",70,40,2,0,1
"G01021136","1990",,,,,,,,,,"99999",,,"6",,"Dora city","21136",,"3","Alabama","01",,,,"Dora city",480,303,29,1,2
"G01021184","1990",,,,,,,,,,"99999",,,"6",,"Dothan city","21184",,"3","Alabama","01",,,,"Dothan city",14124,5854,507,152,48
"G01021280","1990",,,,,,,,,,"99999",,,"6",,"Double Springs town","21280",,"3","Alabama","01",,,,"Double Springs town",297,110,14,1,0
"G01021328","1990",,,,,,,,,,"99999",,,"6",,"Douglas town","21328",,"3","Alabama","01",,,,"Douglas town",117,58,1,1,0
"G01021448","1990",,,,,,,,,,"99999",,,"6",,"Dozier town","21448",,"3","Alabama","01",,,,"Dozier town",140,55,10,0,0
"G01021952","1990",,,,,,,,,,"99999",,,"6",,"Dutton town","21952",,"3","Alabama","01",,,,"Dutton town",73,22,6,0,0
"G01022216","1990",,,,,,,,,,"99999",,,"6",,"East Brewton city","22216",,"3","Alabama","01",,,,"East Brewton city",664,335,32,2,1
"G01022816","1990",,,,,,,,,,"99999",,,"6",,"Eclectic town","22816",,"3","Alabama","01",,,,"Eclectic town",268,122,16,4,1
"G01023176","1990",,,,,,,,,,"99999",,,"6",,"Edwardsville town","23176",,"3","Alabama","01",,,,"Edwardsville town",40,13,0,0,0
"G01023296","1990",,,,,,,,,,"99999",,,"6",,"Elba city","23296",,"3","Alabama","01",,,,"Elba city",1048,392,48,9,9
"G01023320","1990",,,,,,,,,,"99999",,,"6",,"Elberta town","23320",,"3","Alabama","01",,,,"Elberta town",117,56,5,2,1
"G01023344","1990",,,,,,,,,,"99999",,,"6",,"Eldridge town","23344",,"3","Alabama","01",,,,"Eldridge town",55,19,0,0,0
"G01023488","1990",,,,,,,,,,"99999",,,"6",,"Elkmont town","23488",,"3","Alabama","01",,,,"Elkmont town",123,39,1,0,0
"G01023872","1990",,,,,,,,,,"99999",,,"6",,"Emelle town","23872",,"3","Alabama","01",,,,"Emelle town",12,3,3,0,0
"G01024184","1990",,,,,,,,,,"99999",,,"6",,"Enterprise city","24184",,"3","Alabama","01",,,,"Enterprise city",5221,2224,137,42,12
"G01024256","1990",,,,,,,,,,"99999",,,"6",,"Epes town","24256",,"3","Alabama","01",,,,"Epes town",56,25,8,2,1
"G01024472","1990",,,,,,,,,,"99999",,,"6",,"Ethelsville town","24472",,"3","Alabama","01",,,,"Ethelsville town",19,6,0,0,0
"G01024568","1990",,,,,,,,,,"99999",,,"6",,"Eufaula city","24568",,"3","Alabama","01",,,,"Eufaula city",3134,1537,159,52,16
"G01024616","1990",,,,,,,,,,"99999",,,"6",,"Eunola town","24616",,"3","Alabama","01",,,,"Eunola town",60,20,1,0,0
"G01024664","1990",,,,,,,,,,"99999",,,"6",,"Eutaw city","24664",,"3","Alabama","01",,,,"Eutaw city",564,206,37,11,3
"G01024688","1990",,,,,,,,,,"99999",,,"6",,"Eva town","24688",,"3","Alabama","01",,,,"Eva town",105,52,3,0,0
"G01024808","1990",,,,,,,,,,"99999",,,"6",,"Evergreen city","24808",,"3","Alabama","01",,,,"Evergreen city",1000,432,48,19,7
"G01024880","1990",,,,,,,,,,"99999",,,"6",,"Excel town","24880",,"3","Alabama","01",,,,"Excel town",132,70,6,1,0
"G01025120","1990",,,,,,,,,,"99999",,,"6",,"Fairfield city","25120",,"3","Alabama","01",,,,"Fairfield city",3161,1263,111,27,6
