GISJOIN,YEAR,STATE,STATEA,COUNTYA,CTY_SUBA,PLACE,PLACEA,TRACTA,ENUMDISTA,SCSAA,SMSAA,URB_AREAA,BLCK_GRPA,BLOCKA,ANXTERRA,URBRURALA,CDA,AREANAME,CCO001,CCO002,CCO003
"G1302090","1970","Georgia","13",,,"Oakwood","2090",,,,,,,,,,,"Oakwood",66,6,3
"G1302095","1970","Georgia","13",,,"Ochlocknee","2095",,,,,,,,,,,"Ochlocknee",167,11,8
"G1302100","1970","Georgia","13",,,"Ocilla","2100",,,,,,,,,,,"Ocilla",798,86,72
"G1302102","1970","Georgia","13",,,"Oconee","2102",,,,,,,,,,,"Oconee",58,5,6
"G1302105","1970","Georgia","13",,,"Odessadale","2105",,,,,,,,,,,"Odessadale",26,1,2
"G1302110","1970","Georgia","13",,,"Odum","2110",,,,,,,,,,,"Odum",122,3,3
"G1302115","1970","Georgia","13",,,"Oglethorpe","2115",,,,,,,,,,,"Oglethorpe",353,34,27
"G1302120","1970","Georgia","13",,,"Ohoopee","2120",,,,,,,,,,,"Ohoopee",13,2,1
"G1302125","1970","Georgia","13",,,"Oliver","2125",,,,,,,,,,,"Oliver",50,8,1
"G1302130","1970","Georgia","13",,,"Omaha","2130",,,,,,,,,,,"Omaha",44,5,6
"G1302135","1970","Georgia","13",,,"Omega","2135",,,,,,,,,,,"Omega",247,16,17
"G1302150","1970","Georgia","13",,,"Oxford","2150",,,,,,,,,,,"Oxford",307,12,9
"G1302155","1970","Georgia","13",,,"Palmetto","2155",,,,,,,,,,,"Palmetto",526,51,16
"G1302160","1970","Georgia","13",,,"Parrott","2160",,,,,,,,,,,"Parrott",75,6,4
"G1302165","1970","Georgia","13",,,"Patterson","2165",,,,,,,,,,,"Patterson",224,23,7
"G1302170","1970","Georgia","13",,,"Pavo","2170",,,,,,,,,,,"Pavo",245,18,12
"G1302175","1970","Georgia","13",,,"Payne","2175",,,,,,,,,,,"Payne",76,7,1
"G1302177","1970","Georgia","13",,,"Peachtree City","2177",,,,,,,,,,,"Peachtree City",196,12,8
"G1302180","1970","Georgia","13",,,"Pearson","2180",,,,,,,,,,,"Pearson",387,52,42
"G1302185","1970","Georgia","13",,,"Pelham","2185",,,,,,,,,,,"Pelham",1199,123,77
"G1302190","1970","Georgia","13",,,"Pembroke","2190",,,,,,,,,,,"Pembroke",363,32,19
"G1302195","1970","Georgia","13",,,"Pendergrass","2195",,,,,,,,,,,"Pendergrass",72,9,1
"G1302200","1970","Georgia","13",,,"Penfield","2200",,,,,,,,,,,"Penfield",41,1,1
"G1302210","1970","Georgia","13",,,"Perry","2210",,,,,,,,,,,"Perry",1909,185,134
"G1302215","1970","Georgia","13",,,"Phillipsburg (U)","2215",,,,,,,,,,,"Phillipsburg (U)",450,90,86
"G1302225","1970","Georgia","13",,,"Pinehurst","2225",,,,,,,,,,,"Pinehurst",113,8,11
"G1302230","1970","Georgia","13",,,"Pine Lake","2230",,,,,,,,,,,"Pine Lake",243,25,7
"G1302235","1970","Georgia","13",,,"Pine Mountain","2235",,,,,,,,,,,"Pine Mountain",247,14,16
"G1302240","1970","Georgia","13",,,"Pineora","2240",,,,,,,,,,,"Pineora",72,8,1
"G1302245","1970","Georgia","13",,,"Pine Park","2245",,,,,,,,,,,"Pine Park",82,12,3
"G1302250","1970","Georgia","13",,,"Pineview","2250",,,,,,,,,,,"Pineview",130,8,6
"G1302255","1970","Georgia","13",,,"Pitts","2255",,,,,,,,,,,"Pitts",125,2,5
"G1302260","1970","Georgia","13",,,"Plainfield","2260",,,,,,,,,,,"Plainfield",28,0,1
"G1302265","1970","Georgia","13",,,"Plains","2265",,,,,,,,,,,"Plains",169,16,9
"G1302270","1970","Georgia","13",,,"Plainville","2270",,,,,,,,,,,"Plainville",64,3,0
"G1302275","1970","Georgia","13",,,"Pocotalago","2275",,,,,,,,,,,"Pocotalago",24,7,0
"G1302280","1970","Georgia","13",,,"Pooler","2280",,,,,,,,,,,"Pooler",409,21,1
"G1302285","1970","Georgia","13",,,"Portal","2285",,,,,,,,,,,"Portal",166,23,9
"G1302290","1970","Georgia","13",,,"Porterdale","2290",,,,,,,,,,,"Porterdale",489,47,25
"G1302295","1970","Georgia","13",,,"Port Wentworth","2295",,,,,,,,,,,"Port Wentworth",1032,73,18
"G1302300","1970","Georgia","13",,,"Poulan","2300",,,,,,,,,,,"Poulan",204,20,12
"G1302305","1970","Georgia","13",,,"Powder Springs","2305",,,,,,,,,,,"Powder Springs",673,42,12
"G1302310","1970","Georgia","13",,,"Preston","2310",,,,,,,,,,,"Preston",77,2,2
"G1302315","1970","Georgia","13",,,"Primrose","2315",,,,,,,,,,,"Primrose",10,0,0
"G1302320","1970","Georgia","13",,,"Pulaski","2320",,,,,,,,,,,"Pulaski",49,2,3
"G1302325","1970","Georgia","13",,,"Quitman","2325",,,,,,,,,,,"Quitman",1293,124,104
"G1302330","1970","Georgia","13",,,"Raleigh","2330",,,,,,,,,,,"Raleigh",19,1,1
"G1302335","1970","Georgia","13",,,"Ranger","2335",,,,,,,,,,,"Ranger",41,3,3
"G1302340","1970","Georgia","13",,,"Ray City","2340",,,,,,,,,,,"Ray City",176,18,7
"G1302345","1970","Georgia","13",,,"Rebecca","2345",,,,,,,,,,,"Rebecca",91,4,3
"G1302350","1970","Georgia","13",,,"Reidsville","2350",,,,,,,,,,,"Reidsville",513,43,23
"G1302355","1970","Georgia","13",,,"Remerton","2355",,,,,,,,,,,"Remerton",124,15,6
"G1302360","1970","Georgia","13",,,"Reno","2360",,,,,,,,,,,"Reno",21,1,0
"G1302370","1970","Georgia","13",,,"Rentz","2370",,,,,,,,,,,"Rentz",128,6,2
"G1302375","1970","Georgia","13",,,"Rest Haven","2375",,,,,,,,,,,"Rest Haven",53,2,4
"G1302380","1970","Georgia","13",,,"Reynolds","2380",,,,,,,,,,,"Reynolds",351,27,18
"G1302385","1970","Georgia","13",,,"Rhine","2385",,,,,,,,,,,"Rhine",142,13,7
