year,GISJOIN,state,county,total,occupied,vacant,pct.vacant,crowded,pct.crowded,usa.crowded,z.crowded
1980,G2000550,KS,FINNEY COUNTY,8994,8104,890,0.09895485879475206,258,0.04091990483743061,NA,NA
1980,G2000570,KS,FORD COUNTY,9832,8776,1056,0.10740439381611067,183,0.027769347496206374,NA,NA
1980,G2000590,KS,FRANKLIN COUNTY,8763,8148,615,0.07018144471071551,71,0.016670579948344682,NA,NA
1980,G2000610,KS,GEARY COUNTY,11088,10075,1013,0.09136002886002886,344,0.04523339907955293,NA,NA
1980,G2000630,KS,GOVE COUNTY,1596,1378,218,0.13659147869674185,NA,NA,NA,NA
1980,G2000650,KS,GRAHAM COUNTY,1809,1514,295,0.1630735212824765,NA,NA,NA,NA
1980,G2000670,KS,GRANT COUNTY,2602,2331,271,0.10415065334358185,NA,NA,NA,NA
1980,G2000690,KS,GRAY COUNTY,2010,1784,226,0.11243781094527364,NA,NA,NA,NA
1980,G2000710,KS,GREELEY COUNTY,815,670,145,0.17791411042944785,NA,NA,NA,NA
1980,G2000730,KS,GREENWOOD COUNTY,4451,3576,875,0.19658503707032127,NA,NA,NA,NA
1980,G2000750,KS,HAMILTON COUNTY,1273,974,299,0.23487824037706206,NA,NA,NA,NA
1980,G2000770,KS,HARPER COUNTY,3563,3235,328,0.09205725512208812,NA,NA,NA,NA
1980,G2000790,KS,HARVEY COUNTY,11563,10947,616,0.05327337196229352,166,0.015163971864437745,NA,NA
1980,G2000810,KS,HASKELL COUNTY,1495,1292,203,0.13578595317725753,NA,NA,NA,NA
1980,G2000830,KS,HODGEMAN COUNTY,1054,863,191,0.18121442125237192,NA,NA,NA,NA
1980,G2000850,KS,JACKSON COUNTY,4492,4147,345,0.07680320569902048,NA,NA,NA,NA
1980,G2000870,KS,JEFFERSON COUNTY,5817,5297,520,0.08939315798521574,127,0.023975835378516143,NA,NA
1980,G2000890,KS,JEWELL COUNTY,2791,2107,684,0.24507345037620926,NA,NA,NA,NA
1980,G2000910,KS,JOHNSON COUNTY,102827,96927,5900,0.057377926031100784,888,0.009939111747851002,NA,NA
1980,G2000930,KS,KEARNY COUNTY,1409,1177,232,0.1646557842441448,NA,NA,NA,NA
1980,G2000950,KS,KINGMAN COUNTY,3681,3364,317,0.08611790274381961,NA,NA,NA,NA
1980,G2000970,KS,KIOWA COUNTY,1712,1577,135,0.07885514018691589,NA,NA,NA,NA
1980,G2000990,KS,LABETTE COUNTY,10619,9702,917,0.08635464733025709,91,0.024351083757024352,NA,NA
1980,G2001010,KS,LANE COUNTY,1159,971,188,0.1622088006902502,NA,NA,NA,NA
1980,G2001030,KS,LEAVENWORTH COUNTY,18441,17030,1411,0.07651428881297109,464,0.02724603640634175,NA,NA
1980,G2001050,KS,LINCOLN COUNTY,2110,1713,397,0.1881516587677725,NA,NA,NA,NA
1980,G2001070,KS,LINN COUNTY,3977,3154,823,0.2069399044505909,NA,NA,NA,NA
1980,G2001090,KS,LOGAN COUNTY,1616,1342,274,0.16955445544554457,NA,NA,NA,NA
1980,G2001110,KS,LYON COUNTY,13980,13009,971,0.06945636623748212,220,0.023099538009239817,NA,NA
1980,G2001130,KS,MCPHERSON COUNTY,10464,9807,657,0.06278669724770643,34,0.007570696949454465,NA,NA
1980,G2001150,KS,MARION COUNTY,5864,5141,723,0.12329467939972714,NA,NA,NA,NA
1980,G2001170,KS,MARSHALL COUNTY,5584,5053,531,0.09509312320916906,NA,NA,NA,NA
1980,G2001190,KS,MEADE COUNTY,2048,1814,234,0.1142578125,NA,NA,NA,NA
1980,G2001210,KS,MIAMI COUNTY,8457,7571,886,0.1047652831973513,39,0.023722627737226276,NA,NA
1980,G2001230,KS,MITCHELL COUNTY,3510,3148,362,0.10313390313390314,NA,NA,NA,NA
1980,G2001250,KS,MONTGOMERY COUNTY,18153,16388,1765,0.0972291081363962,268,0.02350258703849864,NA,NA
1980,G2001270,KS,MORRIS COUNTY,3187,2560,627,0.1967367430185127,NA,NA,NA,NA
1980,G2001290,KS,MORTON COUNTY,1454,1233,221,0.15199449793672629,NA,NA,NA,NA
1980,G2001310,KS,NEMAHA COUNTY,4432,4020,412,0.09296028880866426,NA,NA,NA,NA
1980,G2001330,KS,NEOSHO COUNTY,7887,7241,646,0.08190693546342082,66,0.013883045856121162,NA,NA
1980,G2001350,KS,NESS COUNTY,2107,1789,318,0.15092548647365922,NA,NA,NA,NA
1980,G2001370,KS,NORTON COUNTY,2983,2589,394,0.1320817968488099,NA,NA,NA,NA
1980,G2001390,KS,OSAGE COUNTY,6152,5600,552,0.08972691807542263,131,0.023392857142857142,NA,NA
1980,G2001410,KS,OSBORNE COUNTY,2774,2387,387,0.1395097332372026,NA,NA,NA,NA
1980,G2001430,KS,OTTAWA COUNTY,2667,2292,375,0.140607424071991,NA,NA,NA,NA
1980,G2001450,KS,PAWNEE COUNTY,3442,3066,376,0.10923881464264962,NA,NA,NA,NA
1980,G2001470,KS,PHILLIPS COUNTY,3503,2883,620,0.17699115044247787,NA,NA,NA,NA
1980,G2001490,KS,POTTAWATOMIE COUNTY,6033,5401,632,0.10475716890435936,3,0.037037037037037035,NA,NA
1980,G2001510,KS,PRATT COUNTY,4450,4078,372,0.08359550561797753,NA,NA,NA,NA
1980,G2001530,KS,RAWLINS COUNTY,1826,1573,253,0.13855421686746988,NA,NA,NA,NA
1980,G2001550,KS,RENO COUNTY,26574,24448,2126,0.0800030104613532,306,0.019431038862077723,NA,NA
1980,G2001570,KS,REPUBLIC COUNTY,3801,3116,685,0.18021573270192054,NA,NA,NA,NA
1980,G2001590,KS,RICE COUNTY,4974,4525,449,0.09026940088459992,NA,NA,NA,NA
1980,G2001610,KS,RILEY COUNTY,20873,19269,1604,0.07684568581420974,216,0.01695447409733124,NA,NA
1980,G2001630,KS,ROOKS COUNTY,3136,2698,438,0.13966836734693877,NA,NA,NA,NA
1980,G2001650,KS,RUSH COUNTY,2100,1827,273,0.13,NA,NA,NA,NA
1980,G2001670,KS,RUSSELL COUNTY,4129,3612,517,0.12521191571809154,NA,NA,NA,NA
1980,G2001690,KS,SALINE COUNTY,20316,18613,1703,0.08382555621185273,264,0.020751454173872034,NA,NA
1980,G2001710,KS,SCOTT COUNTY,2344,2074,270,0.11518771331058021,27,0.017208413001912046,NA,NA
1980,G2001730,KS,SEDGWICK COUNTY,145562,137744,7818,0.053709072422747695,4314,0.03309830518877696,NA,NA
1980,G2001750,KS,SEWARD COUNTY,6707,6125,582,0.0867750111823468,251,0.04642130571481413,NA,NA
1980,G2001770,KS,SHAWNEE COUNTY,64446,58832,5614,0.08711169040747292,1168,0.02044961131731914,NA,NA
1980,G2001790,KS,SHERIDAN COUNTY,1444,1259,185,0.1281163434903047,NA,NA,NA,NA
1980,G2001810,KS,SHERMAN COUNTY,3292,2861,431,0.13092345078979345,NA,NA,NA,NA
